name,price,change_24h,volume_24h,market_cap
Axelar,1.01,0.51,23830000.0,691400000.0
Luna Classic,0.0001193,0.06,48420000.0,691280000.0
Blur,0.4109,1.29,14100000.0,679070000.0
Fasttoken,2.21,-0.01,20590000.0,674800000.0
Frax,0.9977,-0.01,17820000.0,647960000.0
Helium,4.0,-3.26,18210000.0,643270000.0
WOO Network,0.3374,3.73,13460000.0,636030000.0
Echelon Prime,17.81,3.33,7330000.0,637180000.0
Theta Fuel,0.09532,1.56,34590000.0,626380000.0
IoTeX,0.06491,3.56,6490000.0,612820000.0
Bitcoin Gold,34.16,-0.08,489420.0,598360000.0
CorgiAI,0.001714,4.38,43730000.0,588770000.0
MOG Coin,1.507e-06,10.16,5730000.0,588480000.0
Tether Gold,2367.41,1.14,74520000.0,583620000.0
Memecoin,0.02961,-1.75,37690000.0,575250000.0
Curve DAO Token,0.464,0.62,7330000.0,572020000.0
XDC Network,0.03784,3.51,15840000.0,563890000.0
Osmosis,0.8474,2.07,24500000.0,563020000.0
1inch Network,0.4749,-0.64,175420000.0,563390000.0
ether.fi,4.84,1.7,39080000.0,557590000.0
Trust Wallet Token,1.34,-3.99,71110000.0,557020000.0
Astar,0.09638,-2.14,114750000.0,545950000.0
Arkham,2.63,-1.16,12570000.0,538430000.0
SuperFarm,1.07,-2.62,19160000.0,523890000.0
Aerodrome Finance,1.09,0.36,20330000.0,535070000.00000006
dYdX,2.12,2.69,23650000.0,520990000.0
Ocean Protocol,0.902,-1.36,29240000.0,512659999.99999994
Compound,60.7,1.84,37130000.0,505290000.0
Luna,0.6559,1.22,40800000.0,497970000.0
Golem,0.5013,2.92,48380000.0,501330000.0
TrueUSD,0.999,0.03,29340000.0,497690000.0
Green Metaverse Token,0.24,0.27,2420000.0,486620000.0
WEMIX,1.35,-1.95,62680000.0,487130000.0
Raydium,1.8,-1.41,28030000.0,472570000.0
Dymension,3.27,2.42,28870000.0,476720000.0
0x,0.5336,1.7,18820000.0,452190000.0
APENFT,4.536e-07,0.14,32130000.000000004,453620000.0
SSV Network,44.71,-1.41,48370000.0,447060000.0
JITO,3.64,-2.01,5910000.0,445660000.0
Rocket Pool,22.12,5.35,19710000.0,450510000.0
Ankr,0.04461,2.74,16510000.000000002,446090000.0
Metis,77.91,1.5,20310000.0,443000000.0
Zilliqa,0.02379,0.77,28180000.0,439400000.0
Enjin Coin,0.2987,0.83,18850000.0,438400000.0
Celo,0.808,-2.49,7060000.0,435930000.0
PAX Gold,2353.55,0.83,14620000.0,434590000.0
Galxe,3.75,2.28,38370000.0,433030000.0
Reserve Rights,0.008488,0.29,48410000.0,429510000.0
Zcash,26.22,-3.55,5390000.0,428170000.0
Aragon,9.73,1.4,2220000.0,420340000.0
Radix,0.0402,-0.04,40250000.0,420710000.0
SKALE Network,0.07683,2.99,39240000.0,413650000.0
MX Token,4.21,2.13,59670000.0,414350000.0
GMX,42.95,17.25,6720000.0,408960000.0
Biconomy,0.5577,0.06,46150000.0,403110000.0
Altlayer,0.3647,1.82,9180000.0,401220000.0
Ravencoin,0.02891,0.05,21630000.0,402460000.0
PayPal USD,0.9991,0.34,8570000.0,399800000.0
ETHPoW,3.7,4.2,16239999.999999998,399080000.0
Illuvium,91.38,1.45,115380000.0,397820000.0
Turbo,0.006255,0.56,86400000.0,398300000.0
Pixels,0.5069,4.14,63170000.0,390870000.0
Yield Guild Games,1.04,-1.04,30300000.0,381220000.0
Polymesh,0.4444,-0.99,8090000.0,378770000.0
Siacoin,0.006537,-0.71,38300000.0,375600000.0
Qtum,3.57,0.92,14370000.0,375230000.0
Frax Share,4.7,-0.32,4320000.0,375440000.0
SafePal,0.8061,-0.61,33049999.999999996,372840000.0
Loopring,0.272,1.44,14940000.0,371780000.0
Basic Attention Token,0.2462,0.65,28350000.0,368020000.0
ZetaChain,1.34,-0.8,35520000.0,367660000.0
Dash,30.18,-0.3,2260000.0,356850000.0
OriginTrail,0.872,-2.16,10830000.0,354400000.0
aelf,0.4839,0.0,49450000.0,353590000.0
Mask Network,3.66,1.98,45110000.0,351130000.0
Degen,0.02469,8.02,9280000.0,350080000.0
Threshold,0.03557,0.2,9000000.0,345560000.0
Flux,0.9886,0.21,6270000.0,343920000.0
Casper,0.02847,-1.47,2510000.0,343440000.0
Decred,21.12,1.3,1720000.0,340160000.0
Centrifuge,0.6691,-2.19,7630000.0,330930000.0
Gas,5.06,0.3,83650000.0,328700000.0
Chia Network,30.77,0.28,76440000.0,323430000.0
Lido stETH,3851.57,1.75,29870000.0,36660000000.0
Lido wstETH,4511.64,1.43,951740000.0,14390000000.0
WETH,3858.79,1.85,1070000.0,13020000000.0
Wrapped TRON,0.1143,-0.01,46591.0,10000000000.0
ether fi,3847.47,1.19,8890000.0,6410000000.0
Wrapped eETH,4004.6,1.05,35530000.0,5590000000.0
Bitcoin BEP2,71009.19,-0.08,18440000.0,4059999999.9999995
Renzo Protocol,3808.86,1.69,8550000.0,4019999999.9999995
Wrapped Beacon ETH,4010.45,1.77,101610000.0,3600000000.0
Ethena USDe,1.0,0.01,43720000.0,3110000000.0
bittensor,412.36,1.49,18484826.450636305,2840000000.0
Wrapped EOS,2.2,0.0,1610000.0,2450000000.0
Rocket Pool ETH,4247.46,0.5,58930000.0,2170000000.0
Jito Staked SOL,192.94,0.27,4350000.0,1850000000.0
Mantle Staked Ether,3979.27,1.63,80380000.0,1820000000.0
Core DAO,1.95,-3.53,25520000.0,1740000000.0
ZEEBU,4.8,-0.76,3370000.0,1580000000.0
Ethena Staked USDe,1.08,0.15,63550000.0,1290000000.0
Brett,0.1365,17.53,1910000.0,1350000000.0
Kelp DAO Restaked ETH,3900.44,1.4,6390000.0,1160000000.0
Cheelee,21.1,1.2,276520000.0,1140000000.0
Wrapped BNB,698.67,0.08,21870000.0,1110000000.0
MARINADE STAKED SOL,206.51,0.43,64530000.0,944780000.0
DOG•GO•TO•THE•MOON,0.0091,-1.78,6470000.0,909960000.0
DeXe,13.52,0.41,54570000.0,772130000.0
MANTRA,0.9421,0.51,3750000.0,747990000.0
Coinbase Wrapped Staked ETH,4133.62,1.73,861635.0,691590000.0
swETH,4079.29,1.47,34110000.0,686340000.0
SATS,0.0003276,1.1,477660000.0,687920000.0
ConstitutionDAO,0.1273,22.82,71750.0,643990000.0
Frax Staked Ether,4165.28,0.73,18484826.450636305,636300000.0
Compound USD Coin,0.0229,0.0,44050000.0,609300000.0
Manta Network,1.84,1.28,13410000.0,597910000.0
MAGA,12.16,-7.33,5730000.0,535179999.99999994
IPVERSE (ETH),3.69,45.89,12070000.0,554150000.0
FTX Token,1.58,-1.48,1560000.0,518250000.0
Restaked Swell Ethereum,3854.77,1.29,921561.0,497510000.0
Stader ETHx,3974.67,2.1,7990000.0,495500000.0
Wrapped Pulse,5.523e-05,8.34,36140000.0,470570000.0
Popcat,0.4789,-4.23,43900000.0,469270000.0
USDB,1.0,-0.2,29290000.0,419290000.0
Socean Staked Sol,209.18,0.31,47740000.0,417380000.0
SPACE ID,0.7331,-3.92,17990000.0,405010000.0
BinaryX,1.09,1.61,125865.0,400460000.0
Orbler,0.3962,-0.34,17260000.0,402370000.0
BlazeStake Staked SOL,196.46,0.37,2850000.0,396240000.0
Beacon ETH,3849.43,1.89,5640000.0,388690000.0
Arcblock,3.92,4.83,62340000.0,385920000.0
NXM,57.03,0.0,25035.0,376090000.0
Liquid Staked ETH,4025.92,0.48,402020000.0,335610000.0
BounceBit,0.7812,15.13,13940000.0,332280000.0
RSS3,0.3315,6.88,5550000.0,320710000.0
Harmony,0.02266,-1.45,6760000.0,317150000.0
PAAL AI,0.3842,1.81,28630000.0,314430000.0
SushiSwap,1.19,1.25,27480000.0,310830000.0
Vanar Chain,0.2291,0.48,18630000.0,308880000.0
JUST,0.03044,0.77,4390000.0,301360000.0
NetMind Token,8.92,8.72,1240000.0,298280000.0
Telcoin,0.003276,2.25,12100000.0,290380000.0
Amp,0.006838,-0.06,18760000.0,288730000.0
API3,3.32,-1.84,8140000.000000001,286880000.0
Moonbeam,0.3276,0.6,4470000.0,283740000.0
BENQI Liquid Staked AVAX,41.76,0.4,8400000.0,280320000.0
Chromia,0.3452,-2.6,8450000.0,280420000.0
Baby Doge Coin,1.923e-09,-1.54,511877.0,276460000.0
HEX,0.001936,27.84,459647.0,335680000.0
Tribe,0.5127,-1.63,70040000.0,275910000.0
Myro,0.2878,14.32,35330000.0,271790000.0
Tellor,105.42,1.43,12510000.0,273200000.0
Kusama,32.24,-0.21,10740000.0,273050000.0
Ontology,0.3007,1.25,15620000.0,270800000.0
UMA,3.32,0.87,4330000.0,268320000.0
Convex Finance,2.79,-1.11,51540000.0,267579999.99999997
Saga,2.86,2.18,757829.0,269520000.0
0x0.ai: AI Smart Contract,0.2991,2.25,7380000.0,259750000.0
Band Protocol,1.77,-0.15,4420000.0,253300000.0
Bitcoin Avalanche Bridged,70970.1,-0.08,1550000.0,253160000.0
tBTC,70802.03,0.29,8500000.0,252640000.0
Open Campus,0.8563,-2.92,22520000.0,250120000.0
Alchemy Pay,0.03229,3.15,118240000.0,250010000.0
Xai,0.892,3.25,2750000.0,247190000.0
VeThor Token,0.003178,-0.21,348707.0,244190000.0
Wrapped Centrifuge,0.671,-2.04,4830000.0,241740000.0
iExec RLC,3.33,-1.54,8220000.000000001,241330000.0
Nosana,4.97,4.94,668652.0,239570000.0
FINSCHIA,29.73,-1.17,10550000.0,234650000.0
Delysium,0.3076,0.21,10820000.0,237330000.0
Audius,0.1934,-1.41,19000000.0,238260000.0
yearn.finance,7098.96,0.48,6560000.0,236240000.0
Balancer,4.09,1.91,7540000.0,234020000.0
Kadena,0.8415,-0.35,18484826.450636305,233630000.0
Mirrored ProShares VIX,106.15,0.0,28140000.0,233970000.0
MAGIC,0.8957,-0.94,47340000.0,230150000.0
Sleepless AI,1.24,5.48,7750000.0,228740000.0
Creditcoin,0.6675,-0.14,4250000.0,227690000.0
WAX,0.06534,1.44,29120000.0,225430000.0
TrueFi,0.1979,-3.62,10010000.0,225980000.0
Zentry,0.04029,3.44,2410000.0,218880000.0
ICON,0.2167,0.26,9350000.0,217100000.0
COTI,0.1384,-2.91,1160000.0,217640000.0
EscoinToken,1.31,-0.69,1700000.0,216410000.0
SwissBorg,0.2214,-0.68,1360000.0,217860000.0
Beldex,0.03364,0.67,5720000.0,216880000.0
Neutron,0.7759,-1.21,50120000.0,216870000.0
Omni Network,20.55,4.74,1540000000.0,213580000.0
Wrapped Solana,173.29,0.29,779321.0,212740000.0
Pocket Network,0.1303,-0.42,462040000.0,213610000.0
BEERCOIN,0.0004103,23.37,11430000.0,225560000.0
Coin98,0.2749,-1.25,6690000.0,212430000.0
SXP,0.3459,-0.46,294081.0,209670000.0
Synclub,705.59,-0.12,18400000.0,209710000.0
Big Time,0.2225,1.15,43390000.0,208380000.0
Portal,1.02,2.74,163354.0,209350000.0
Mythos,0.406,1.32,8730000.0,205790000.0
Storj,0.535,0.39,11980000.0,206260000.0
Prometeus,11.36,-0.46,22490000.0,207370000.0
CyberConnect,9.2,1.45,3210000.0,204640000.0
Marlin,0.02513,4.09,80440000.0,203230000.0
Renzo,0.175,8.24,64110000.0,201280000.0
Merlin Chain,0.5634,11.15,5390000.0,202820000.0
Cartesi,0.246,0.15,7670.0,201250000.0
MimbleWimbleCoin,18.79,1.59,318634.0,205830000.0
Gekko HQ,3.294e-06,2.31,25142.0,197630000.0
Olympus,12.21,0.42,23440000.0,199630000.0
NEM,0.02171,-4.98,7130000.0,195430000.0
DigiByte,0.01156,1.75,5760000.0,197180000.0
Propy,1.97,4.51,7880000.0,197240000.0
Lisk,1.53,2.05,687012.0,197290000.0
LCX,0.2547,-1.01,2460000.0,196560000.0
Aleph Zero,0.735,-3.29,1080000.0,196090000.0
Toshi,0.0004696,-13.16,4380000.0,191640000.0
Numeraire,28.32,-1.13,121510000.0,193640000.0
Smooth Love Potion,0.0047,6.35,4250000.0,194530000.0
Celer Network,0.02493,0.63,16900000.0,193070000.0
Wrapped AVAX,36.36,0.36,159340000.0,192150000.0
SLERF,0.382,14.73,9910000.0,190990000.0
Decentralized Social,21.43,2.15,18960000.0,190400000.0
Dusk ,0.446,-0.16,1100000.0,187840000.0
Airtor Protocol,2.07,0.54,7330000.0,186750000.0
Coq Inu,2.699e-06,-0.97,1280000.0,187340000.0
Rollbit Coin,0.07001,9.29,24420000.0,186710000.0
Milady Meme Coin,2.487e-07,0.38,7310000.0,182640000.0
IOST,0.008654,-0.08,1970000.0,184460000.0
PUPS (Ordinals),22.99,1.18,9550000.0,178610000.0
Venus,11.38,0.32,7320000.0,181120000.0
RSK Infrastructure Framework,0.1792,1.53,111357.0,179170000.0
Braintrust,0.7628,1.02,123867.0,178530000.0
FLEX,1.8,-0.42,427766.0,177410000.0
H2O Dao,0.2197,0.04,3810000.0,177590000.0
Venom,0.1781,-2.91,494854.0,176160000.0
Songbird,0.01187,4.77,495647.0,176120000.0
Chintai,0.1768,-1.88,2780000.0,176580000.0
Oraichain Token,13.9,1.06,744863.0,176570000.0
Bitkub Coin,1.97,0.03,5090000.0,174980000.0
Alephium,2.17,18.7,23420000.0,173590000.0
Ponke,0.3985,-11.28,5420000.0,171280000.0
JOE,0.4804,0.5,630194.0,172800000.0
VVS Finance,3.769e-06,4.45,3260000.0,171860000.0
Nano,1.29,-0.67,67720000.0,171420000.0
TokenFi,0.1722,2.16,15520000.0,172200000.0
Apu Apustaja,0.000556,3.3,17890000.0,173880000.0
michi,0.2939,7.8,95820000.0,163320000.0
Tensor,1.35,4.9,18484826.450636305,169150000.0
Alchemix USD,1.0,0.0,4850000.0,167300000.0
Everipedia,0.00902,-1.63,250664.0,165850000.0
USDJ,1.08,-0.41,105150000.0,165720000.0
Waves,1.44,-5.9,18484826.450636305,165470000.0
Bridge$,2.33,0.0,805036.0,164190000.0
Kujira,1.34,-6.58,1250000.0,163600000.0
Covalent,0.2373,3.25,602235.0,162970000.0
Bitcoin Wizards,7.75,-3.95,10230000.0,162680000.0
TerraClassicUSD,0.02375,1.01,34807.0,161840000.0
Keep Network,0.1692,2.32,1900000.0,160960000.0
World Mobile Token,0.3259,1.1,1600000.0,160280000.0
Ribbon Finance,0.9961,4.0,8279999.999999999,161620000.0
Ontology Gas,0.4189,-1.52,812349.0,159020000.0
SmarDex,0.01889,1.01,24490000.0,157780000.0
Vulcan Forged PYR,5.65,0.05,2390000.0,158720000.0
Oasys,0.07025,-1.58,1100000.0,156340000.0
BitMart Token,0.4808,-7.46,6670000.0,155910000.0
Powerledger,0.2997,0.68,782732.0,153570000.0
Wilder World,0.5901,-2.48,2500000.0,154370000.0
Hive,0.305,-0.16,18484826.450636305,152720000.0
QUAI DAO,3.86,0.0,3000000.0,153580000.0
Syscoin,0.195,-4.21,3280000.0,153460000.0
Helium Mobile,0.001822,-1.59,48010000.0,149880000.0
Frontier,1.68,3.67,105989.0,150820000.0
Stride,1.71,4.65,18484826.450636305,150350000.0
Spectral,14.65,3.51,26160000.0,150850000.0
Wen,0.000205,-4.39,105849.0,149170000.0
Metars Genesis,1.77,0.04,8029999.999999999,149230000.0
Bone ShibaSwap,0.6482,3.03,7610000.0,149040000.0
Seedify.fund,2.45,2.68,23150000.0,148400000.0
Dent,0.001474,3.84,10650000.0,147420000.0
Cream Finance,79.95,-7.52,9050000.0,148370000.0
Hooked Protocol,0.9172,-1.74,5110000.0,146340000.0
Zigcoin,0.1012,3.08,4120000.0,145050000.0
Request,0.1461,4.7,12600000.0,146010000.0
Pax Dollar,1.0,0.0,39040000.0,145760000.0
Bounce Token,21.93,3.96,115870000.0,142530000.0
MyNeighborAlice,2.11,-4.38,5200000.0,143510000.0
Stratis [New],0.07416,1.38,16340000.0,142890000.0
Moonriver,16.49,13.46,4660000.0,148010000.0
Ark,0.7834,1.09,23020000.0,142030000.0
Nakamoto Games,1.57,-7.6,292508.0,141590000.0
ECOMI,0.0005185,-0.45,1780000.0,141270000.0
BORA,0.141,-0.37,3180000.0,140100000.0
HarryPotterObamaSonic10Inu,0.1409,-3.77,11510000.0,140890000.0
crvUSD,0.9983,-0.03,31740000.0,140540000.0
NFPrompt,0.5606,-0.79,5750000.0,140160000.0
Phala Network,0.1923,0.2,764669.0,139890000.0
Polygon Ecosystem Token,0.7235,1.2,4870000.0,140140000.0
Horizen,9.24,-1.83,5150000.0,139220000.0
Pundi X[new],0.5368,-0.61,428863.0,138750000.0
inSure DeFi,0.005199,1.29,9320000.0,139290000.0
Phoenix Global (new),2.78,0.49,34373.0,138220000.0
Lido Staked Matic,0.8091,0.73,1590000.0,138100000.0
Status,0.03529,0.2,5110000.0,137080000.0
Synapse,0.7319,0.85,29570000.0,136050000.0
MANEKI,0.01622,-5.7,1320000.0,136600000.0
Syntropy,0.1839,-4.77,1880000.0,134160000.0
STASIS EURO,1.09,-0.02,65890000.0,135010000.0
ApeX Protocol,2.89,-1.35,28940000.0,134870000.0
Velo,0.01792,4.13,25070000.0,132430000.0
Stargate Finance,0.6465,-1.08,7520000.0,132100000.0
DODO,0.2183,-0.2,3760000.0,134180000.0
LimeWire,0.4659,-0.99,1570000.0,133669999.99999999
Clearpool,0.2186,-6.38,45244.0,132580000.00000001
Staked ETH,3931.33,1.46,41820000.0,131930000.0
Spell Token,0.001225,0.61,18484826.450636305,131520000.00000001
Crypto.com Staked ETH,3931.35,1.8,1820000.0,131750000.0
NYM,0.1662,3.69,16950000.0,131400000.0
Fusionist,5.98,-0.78,25000000.0,131380000.0
Adventure Gold,1.7,9.98,10140000.0,131699999.99999999
MVL,0.005177,-0.25,6480000.0,129169999.99999999
Hashflow,0.311,-0.99,3.0,126590000.0
Ecoin,0.000274,168.64,20850000.0,126370000.0
Solidus Ai Tech,0.2003,6.25,1150000.0,125940000.0
Orca,2.5,-1.8,17370000.0,126090000.0
Sun (New),0.01257,1.01,20460000.0,125080000.0
Wrapped Matic,0.7212,0.76,12370000.0,125350000.0
Kyber Network Crystal v2,0.665,0.25,275593.0,125290000.0
Symbol,0.02145,-0.47,2880000.0,126580000.0
Constellation,0.04337,-2.11,4270000.0,124610000.0
Hivemapper,0.07596,-1.79,16719999.999999998,125770000.0
Radiant Capital,0.2166,1.32,25310000.0,123860000.0
Liquity,1.34,12.18,2860000.0,128789999.99999999
Paycoin,0.1183,10.26,23834.0,119230000.0
Stader MaticX,0.8037,0.62,23710000.0,121600000.0
WINkLink,0.0001223,3.46,19430000.0,121550000.0
Heroes of Mavia,3.37,-0.42,1330000.0,120160000.0
Myria,0.006054,-3.75,16370000.000000002,118310000.0
MOBOX,0.3756,-0.62,7770000.0,117880000.0
CertiK,0.8604,2.76,13030000.0,116020000.0
Unizen,0.1686,-5.94,726328.0,116780000.0
Dione Protocol,0.01229,1.31,5220000.0,116870000.0
Maverick Protocol,0.4664,1.03,238923.0,116610000.0
Bazaars,9.88,1.64,2890000.0,115300000.0
Dogelon Mars,2.07e-07,3.27,5790000.0,113780000.0
LeverFi,0.003527,1.24,18484826.450636305,113630000.0
Venus USDC,0.02395,0.02,3150000.0,114280000.0
 Alpha Venture DAO,0.1291,-1.41,119970000.0,113960000.0
MAGA,0.0003025,-9.5,14930000.0,118040000.0
Gitcoin,1.69,-1.92,8039999.999999999,111960000.0
ARPA Chain,0.07683,-1.72,624463.0,112000000.0
Tokenlon Network Token,0.9713,-0.31,5030000.0,112250000.0
Wrapped CRO,0.1173,4.35,2620000.0,112220000.0
Aurora,0.2452,21.7,4550000.0,115490000.0
Gains Network,3.32,-1.63,378407.0,111050000.0
HashAI,0.001309,2.22,108134.0,110650000.0
Decentral Games [Old],318.84,0.0,973524.0,110540000.0
dKargo,0.02635,1.16,1770000.0,110300000.0
MARBLEX,0.8761,-1.35,5050000.0,109960000.0
DAO Maker,0.7284,0.36,5590000.0,109250000.0
Acala Token,0.1066,0.47,849627.0,108840000.0
Forta,0.2556,-0.49,4370000.0,108840000.0
Bancor,0.8167,-0.71,5170000.0,108750000.0
Orchid,0.1104,2.01,18484826.450636305,108160000.0
Peseta Digital,0.7516,0.0,2410000.0,108740000.0
MiL.k,0.3006,1.01,16910000.0,108470000.0
Mines of Dalarnia,0.1944,-5.0,5020000.0,108310000.0
Bluzelle,0.251,-1.48,799861.0,107800000.0
IX Swap,0.6223,-2.59,3480000.0,107620000.0
Secret,0.3953,2.76,2020000.0,107260000.0
Tectum,14.78,15.84,297721.0,108690000.0
Everscale,0.05371,1.79,2650000.0,105720000.0
Pangolin,0.4859,1.44,832945.0,106100000.0
XYO,0.00782,0.72,14720000.0,105390000.0
Radio Caca,0.0002864,-0.92,3210000.0,104830000.0
Banana Gun,40.31,-0.49,13370000.0,104540000.0
Metal,1.56,-0.12,2080000.0,103660000.0
Guild of Guardians,0.1768,-3.69,5750000.0,103680000.0
Orbs,0.03258,0.53,8520000.0,103190000.0
Zebec Network,0.002012,0.62,6170000.0,102370000.0
Loom Network,0.08287,-0.18,11900000.0,101450000.0
ChainGPT,0.2118,8.0,33920000.0,103610000.0
BakeryToken,0.351,0.23,19700000.0,101720000.0
BENQI,0.02145,9.62,9800000.0,99870000.0
Telos,0.2709,2.25,7910000.0,101750000.0
GMT Token,0.2618,3.52,4012.0,105160000.0
GuildFi,0.4029,4.53,1010000.0,101610000.0
AllianceBlock Nexera,0.1323,5.64,38340000.0,101310000.0
KARRAT,1.13,4.71,815841.0,99080000.0
The Doge NFT,0.006759,-0.01,5940000.0,100920000.0
